COUNTY,Tr_ID,TotPop,Pop25pl,HH_MedInc,Perc_BelPo,PercBl,Count
510,24510050100,2773.000000,1684.000000,7944.000000,58.600793,91.16480346200,6
005,24005451000,1696.000000,1213.000000,56786.000000,6.442080,0.00000000000,2
510,24510060100,3443.000000,1775.000000,30461.000000,28.966521,58.23409817020,2
027,24027602900,3566.000000,2419.000000,44099.000000,4.565953,13.54458777340,2
510,24510060200,3548.000000,1980.000000,24359.000000,36.745782,67.70011273960,1
510,24510060300,1900.000000,1155.000000,20720.000000,37.459807,73.78947368420,2
510,24510260501,4906.000000,3626.000000,29017.000000,14.352941,7.39910313901,9
005,24005420500,3459.000000,2484.000000,34922.000000,6.846533,2.57299797629,1
510,24510040100,1658.000000,1282.000000,29094.000000,41.564039,41.61640530760,117
005,24005401503,6265.000000,4492.000000,65681.000000,1.787709,2.56983240223,7
510,24510040200,1320.000000,1071.000000,12857.000000,44.098361,46.28787878790,7
510,24510180100,2045.000000,1069.000000,9313.000000,51.784841,97.26161369190,2
510,24510200200,3413.000000,2198.000000,26949.000000,24.969400,98.68151186640,1
510,24510200600,2863.000000,1848.000000,30000.000000,23.545900,62.48690185120,3
510,24510200701,4903.000000,3358.000000,28617.000000,25.160489,98.18478482560,0
510,24510180200,1238.000000,917.000000,21154.000000,31.665063,96.36510500810,1
510,24510190100,2644.000000,1555.000000,18000.000000,42.611684,94.06202723150,0
510,24510030100,2427.000000,1409.000000,11119.000000,52.933884,76.88504326330,8
510,24510200100,2142.000000,1335.000000,23456.000000,27.741331,94.91129785250,0
510,24510280404,4050.000000,2477.000000,19713.000000,33.073526,93.58024691360,1
510,24510280403,5463.000000,3430.000000,40857.000000,9.570460,64.70803587770,0
005,24005420600,4238.000000,2839.000000,42224.000000,9.881423,2.02925908447,5
510,24510030200,1098.000000,885.000000,39706.000000,24.103586,19.12568306010,30
510,24510260800,2515.000000,1736.000000,25065.000000,30.701754,13.83697813120,3
510,24510010200,3335.000000,2368.000000,31971.000000,13.246832,17.42128935530,4
510,24510010300,1746.000000,1412.000000,33250.000000,13.802978,0.45819014891,3
510,24510020100,2008.000000,1338.000000,32593.000000,19.970120,12.74900398410,1
510,24510010500,1966.000000,1554.000000,37670.000000,15.290520,6.66327568667,1
510,24510260700,2007.000000,1269.000000,24271.000000,32.336821,7.52366716492,12
005,24005400702,1637.000000,1128.000000,43750.000000,4.824851,12.15638362860,3
510,24510020200,2202.000000,1545.000000,45588.000000,13.442325,14.25976385100,9
027,24027602303,3879.000000,2362.000000,102850.000000,1.392111,2.19128641402,9
005,24005400701,2618.000000,1845.000000,39550.000000,8.339798,17.41787624140,7
510,24510180300,2081.000000,1311.000000,24223.000000,33.027523,56.75156174920,7
510,24510190200,2276.000000,1441.000000,27643.000000,32.493369,38.84007029880,1
510,24510200702,1569.000000,959.000000,34756.000000,16.538462,94.13639260680,3
510,24510190300,2676.000000,1627.000000,20360.000000,43.128713,61.77130044840,3
510,24510200300,2295.000000,1171.000000,18804.000000,51.123843,56.16557734200,4
510,24510200400,2003.000000,1256.000000,22386.000000,32.251623,92.96055916130,2
005,24005420100,3656.000000,2758.000000,43197.000000,2.965736,0.30087527352,9
510,24510260900,2258.000000,1701.000000,32717.000000,13.389680,3.18866253322,12
510,24510261100,1819.000000,1313.000000,30028.000000,18.473451,3.02363936229,4
005,24005400600,2844.000000,2002.000000,45452.000000,4.641044,9.63431786217,0
510,24510200800,2481.000000,1561.000000,26628.000000,20.841847,73.59935509880,4
510,24510220100,4008.000000,3258.000000,51489.000000,18.657895,17.66467065870,37
005,24005400800,2709.000000,1909.000000,48257.000000,7.788852,37.20930232560,3
510,24510010400,2275.000000,1782.000000,45069.000000,18.681319,2.54945054945,20
510,24510210200,3449.000000,2010.000000,21033.000000,24.869110,37.51812119450,5
510,24510210100,2252.000000,1522.000000,23877.000000,30.741573,56.08348134990,6
510,24510020300,2397.000000,2004.000000,47917.000000,8.635795,2.87859824781,45
510,24510200500,3528.000000,2134.000000,22451.000000,33.342817,32.68140589570,9
005,24005400900,1778.000000,1134.000000,52806.000000,10.348706,38.75140607420,5
510,24510260605,4284.000000,3122.000000,33141.000000,17.533990,12.83846872080,19
510,24510010100,2866.000000,2379.000000,39353.000000,11.548363,3.21004884857,14
005,24005420701,2720.000000,2041.000000,33109.000000,8.636027,2.35294117647,5
005,24005420702,2132.000000,1421.000000,47778.000000,5.675422,0.00000000000,1
510,24510260604,2651.000000,1178.000000,8365.000000,65.937382,70.01131648430,0
510,24510250102,3247.000000,1901.000000,32199.000000,12.426219,82.90729904530,0
510,24510250101,3678.000000,2171.000000,32276.000000,16.173625,84.14899401850,0
510,24510240200,2078.000000,1611.000000,77340.000000,7.795958,0.00000000000,7
510,24510230100,1800.000000,1215.000000,32326.000000,29.166667,43.72222222220,8
027,24027602800,5195.000000,3381.000000,69519.000000,4.579710,10.22136669870,16
027,24027602304,4575.000000,3051.000000,101726.000000,1.470266,2.95081967213,1
