"","ORG_CODE","DISTRICT_NAME.x","COUNTY.x","FEMALE","MALE","TOTAL","DISTRICT_NAME.y","COUNTY.y","GRADE","District_Total","African American","Asian","Hispanic","Mult-Race, Non-Hispanic","Native American","Native Hawaiian PacificIslander","White"
"169","0251","Rockland","Plymouth","74","63","137","Rockland","Plymouth","Gr.10",137,"11","0","16","4","0","0","106"
"170","0252","Rockport","Essex","40","41","81","Rockport","Essex","Gr.10",81,"0","1","1","1","0","0","78"
"171","0253","Rowe","Franklin","0","0","0","Rowe","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"172","0258","Salem","Essex","112","138","250","Salem","Essex","Gr.10",250,"21","4","110","11","1","0","103"
"173","0261","Sandwich","Barnstable","86","89","175","Sandwich","Barnstable","Gr.10",175,"1","2","0","0","1","0","171"
"174","0262","Saugus","Essex","96","80","176","Saugus","Essex","Gr.10",176,"8","8","19","0","1","0","140"
"175","0263","Savoy","Berkshire","0","0","0","Savoy","Berkshire","Gr.10",0,"***","***","***","***","***","***","***"
"176","0264","Scituate","Plymouth","111","102","213","Scituate","Plymouth","Gr.10",213,"8","3","0","1","0","0","201"
"177","0265","Seekonk","Bristol","87","68","155","Seekonk","Bristol","Gr.10",155,"4","6","4","5","0","0","136"
"178","0266","Sharon","Norfolk","139","143","282","Sharon","Norfolk","Gr.10",282,"21","66","13","7","0","0","175"
"179","0269","Sherborn","Middlesex","0","0","0","Sherborn","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"180","0271","Shrewsbury","Worcester","242","186","428","Shrewsbury","Worcester","Gr.10",428,"7","96","33","9","0","1","282"
"181","0272","Shutesbury","Franklin","0","0","0","Shutesbury","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"182","0273","Somerset","Bristol","0","0","0","Somerset","Bristol","Gr.10",0,"***","***","***","***","***","***","***"
"183","0274","Somerville","Middlesex","163","199","362","Somerville","Middlesex","Gr.10",362,"57","35","156","4","0","0","110"
"184","0275","Southampton","Hampshire","0","0","0","Southampton","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
"185","0276","Southborough","Worcester","0","0","0","Southborough","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"186","0277","Southbridge","Worcester","66","64","130","Southbridge","Worcester","Gr.10",130,"1","1","63","0","0","0","65"
"187","0278","South Hadley","Hampshire","63","55","118","South Hadley","Hampshire","Gr.10",118,"3","3","5","0","0","0","107"
"188","0281","Springfield","Hampden","874","929","1803","Springfield","Hampden","Gr.10",1803,"379","62","1093","18","0","1","250"
"189","0284","Stoneham","Middlesex","92","86","178","Stoneham","Middlesex","Gr.10",178,"5","4","13","4","0","0","152"
"190","0285","Stoughton","Norfolk","134","148","282","Stoughton","Norfolk","Gr.10",282,"70","13","18","1","0","0","180"
"191","0287","Sturbridge","Worcester","0","0","0","Sturbridge","Worcester","Gr.10",0,"***","***","***","***","***","***","***"
"192","0288","Sudbury","Middlesex","0","0","0","Sudbury","Middlesex","Gr.10",0,"***","***","***","***","***","***","***"
"193","0289","Sunderland","Franklin","0","0","0","Sunderland","Franklin","Gr.10",0,"***","***","***","***","***","***","***"
"194","0290","Sutton","Worcester","63","45","108","Sutton","Worcester","Gr.10",108,"0","1","2","4","0","0","101"
"195","0291","Swampscott","Essex","89","85","174","Swampscott","Essex","Gr.10",174,"9","6","9","4","0","1","145"
"196","0292","Swansea","Bristol","63","65","128","Swansea","Bristol","Gr.10",128,"3","2","2","1","0","0","120"
"197","0293","Taunton","Bristol","227","271","498","Taunton","Bristol","Gr.10",499,"73","14","59","23","0","4","326"
"198","0295","Tewksbury","Middlesex","110","125","235","Tewksbury","Middlesex","Gr.10",235,"6","7","3","1","0","0","218"
"199","0296","Tisbury","Dukes","0","0","0","Tisbury","Dukes","Gr.10",0,"***","***","***","***","***","***","***"
"200","0298","Topsfield","Essex","0","0","0","Topsfield","Essex","Gr.10",0,"***","***","***","***","***","***","***"
"201","0300","Truro","Barnstable","0","0","0","Truro","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"202","0301","Tyngsborough","Middlesex","60","62","122","Tyngsborough","Middlesex","Gr.10",122,"1","5","7","4","0","0","105"
"203","0304","Uxbridge","Worcester","58","71","129","Uxbridge","Worcester","Gr.10",129,"3","1","5","5","0","1","114"
"204","0305","Wakefield","Middlesex","123","105","228","Wakefield","Middlesex","Gr.10",228,"9","10","6","5","0","1","197"
"205","0306","Wales","Hampden","0","0","0","Wales","Hampden","Gr.10",0,"***","***","***","***","***","***","***"
"206","0307","Walpole","Norfolk","158","140","298","Walpole","Norfolk","Gr.10",298,"15","10","14","3","0","0","256"
"207","0308","Waltham","Middlesex","199","204","403","Waltham","Middlesex","Gr.10",403,"46","20","168","13","1","2","153"
"208","0309","Ware","Hampshire","43","35","78","Ware","Hampshire","Gr.10",78,"2","1","5","1","0","0","69"
"209","0310","Wareham","Plymouth","53","65","118","Wareham","Plymouth","Gr.10",118,"12","2","9","11","1","0","83"
"210","0314","Watertown","Middlesex","79","93","172","Watertown","Middlesex","Gr.10",172,"7","11","27","6","0","0","121"
"211","0315","Wayland","Middlesex","95","109","204","Wayland","Middlesex","Gr.10",204,"6","35","9","10","0","0","144"
"212","0316","Webster","Worcester","60","76","136","Webster","Worcester","Gr.10",136,"6","3","16","5","0","0","106"
"213","0317","Wellesley","Norfolk","210","173","383","Wellesley","Norfolk","Gr.10",383,"20","47","17","20","0","0","279"
"214","0318","Wellfleet","Barnstable","0","0","0","Wellfleet","Barnstable","Gr.10",0,"***","***","***","***","***","***","***"
"215","0321","Westborough","Worcester","138","129","267","Westborough","Worcester","Gr.10",267,"5","59","12","8","0","0","183"
"216","0322","West Boylston","Worcester","34","26","60","West Boylston","Worcester","Gr.10",60,"1","2","4","1","0","0","52"
"217","0323","West Bridgewater","Plymouth","60","46","106","West Bridgewater","Plymouth","Gr.10",106,"3","1","2","2","0","0","98"
"218","0325","Westfield","Hampden","219","210","429","Westfield","Hampden","Gr.10",429,"13","14","43","13","1","0","345"
"219","0326","Westford","Middlesex","212","243","455","Westford","Middlesex","Gr.10",455,"3","97","5","13","0","0","337"
"220","0327","Westhampton","Hampshire","0","0","0","Westhampton","Hampshire","Gr.10",0,"***","***","***","***","***","***","***"
